DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E,state,county,tract
19.0,37.7,25.1,8.2,3.3,5.6,26.4,1.0,893,54.5,1021,30.2,23.6,946,26.3,17.3,6.2,2.4,23548,7.4,3.7,0.0,1.0,1.2,42872,48,025,950600
13.6,39.1,24.1,4.4,2.2,4.5,12.2,7.8,1346,48.5,1447,13.7,50.9,956,26.0,5.8,6.5,3.3,30907,4.4,12.4,0.0,4.4,0.3,69375,48,027,020101
19.9,40.9,37.8,4.0,4.4,0.0,9.2,9.5,1348,51.1,1408,7.4,19.2,1421,5.0,12.4,3.1,4.5,35256,0.0,5.9,0.0,1.5,0.4,87931,48,027,020102
16.8,39.8,32.5,3.1,3.5,1.8,9.8,6.7,2828,50.5,3262,8.4,8.7,-666666666,3.0,4.8,4.3,12.9,45529,2.0,2.7,0.0,4.4,0.3,106841,48,027,020201
16.3,42.7,30.9,6.6,3.6,3.3,14.0,2.6,1672,49.9,1777,10.5,6.2,1477,21.2,4.0,2.3,11.8,41837,3.1,2.2,0.0,0.4,0.0,80722,48,027,020203
22.0,39.3,47.7,6.6,7.4,5.3,11.0,3.5,1039,43.7,1167,25.5,14.6,586,27.4,7.0,3.2,17.9,42631,4.0,0.9,0.0,3.5,0.0,64653,48,027,020204
8.8,31.7,17.0,4.1,5.6,0.5,14.8,17.3,3413,49.2,3627,12.2,36.9,1791,5.2,5.8,10.5,7.3,37613,5.2,5.8,0.0,14.2,0.9,101582,48,027,020301
8.5,28.2,17.8,4.1,3.2,0.0,16.0,17.0,1891,52.9,2142,11.1,25.8,1654,3.8,4.8,0.0,5.4,31914,5.0,0.0,0.0,15.9,2.0,82114,48,027,020302
10.7,30.8,17.5,12.9,5.8,0.6,24.3,32.7,1527,50.0,1383,20.1,60.7,1108,12.7,0.0,24.9,1.5,24315,4.5,4.8,0.0,25.3,0.9,51996,48,027,020401
8.1,29.0,26.9,13.3,14.8,1.8,8.5,22.8,965,46.6,1069,31.9,41.8,1093,16.1,17.9,16.9,0.4,23586,1.3,10.3,0.0,20.5,0.5,56563,48,027,020402
17.0,36.8,26.7,6.2,5.8,0.0,16.9,16.6,1419,51.0,1564,11.9,22.0,1270,0.0,7.3,19.1,0.9,30763,5.4,7.3,0.0,9.8,0.7,62561,48,027,020500
14.5,37.7,31.6,6.8,7.6,0.0,14.5,18.4,998,53.6,1146,20.7,21.4,1016,0.8,14.9,10.8,1.9,30565,7.8,1.1,0.0,13.6,0.0,76121,48,027,020600
